2017-04-24 20:51:20,[3, 1, 2, 6, 1, 6, 1, 7, 0, 7, 0, 4, 1, 1, 6, 3, 3, 8, 2, 1],0.654605263158,1
2017-04-24 20:51:25,[2, 3, 1, 2, 6, 1, 6, 1, 7, 0, 7, 0, 4, 1, 1, 6, 3, 3, 8, 2],0.654605263158,1
2017-04-24 20:51:30,[1, 2, 3, 1, 2, 6, 1, 6, 1, 7, 0, 7, 0, 4, 1, 1, 6, 3, 3, 8],0.654605263158,1
2017-04-24 20:51:35,[3, 1, 2, 3, 1, 2, 6, 1, 6, 1, 7, 0, 7, 0, 4, 1, 1, 6, 3, 3],0.493421052632,0
2017-04-24 20:51:40,[3, 3, 1, 2, 3, 1, 2, 6, 1, 6, 1, 7, 0, 7, 0, 4, 1, 1, 6, 3],0.493421052632,0
2017-04-24 20:51:45,[0, 3, 3, 1, 2, 3, 1, 2, 6, 1, 6, 1, 7, 0, 7, 0, 4, 1, 1, 6],0.555921052632,1
2017-04-24 20:51:50,[3, 0, 3, 3, 1, 2, 3, 1, 2, 6, 1, 6, 1, 7, 0, 7, 0, 4, 1, 1],0.542763157895,1
2017-04-24 20:51:55,[2, 3, 0, 3, 3, 1, 2, 3, 1, 2, 6, 1, 6, 1, 7, 0, 7, 0, 4, 1],0.555921052632,1
2017-04-24 20:52:00,[1, 2, 3, 0, 3, 3, 1, 2, 3, 1, 2, 6, 1, 6, 1, 7, 0, 7, 0, 4],0.555921052632,1
2017-04-24 20:52:05,[1, 1, 2, 3, 0, 3, 3, 1, 2, 3, 1, 2, 6, 1, 6, 1, 7, 0, 7, 0],0.605263157895,1
2017-04-24 20:52:10,[2, 1, 1, 2, 3, 0, 3, 3, 1, 2, 3, 1, 2, 6, 1, 6, 1, 7, 0, 7],0.605263157895,1
2017-04-24 20:52:15,[2, 2, 1, 1, 2, 3, 0, 3, 3, 1, 2, 3, 1, 2, 6, 1, 6, 1, 7, 0],0.654605263158,1
2017-04-24 20:52:20,[5, 2, 2, 1, 1, 2, 3, 0, 3, 3, 1, 2, 3, 1, 2, 6, 1, 6, 1, 7],0.592105263158,1
2017-04-24 20:52:25,[2, 5, 2, 2, 1, 1, 2, 3, 0, 3, 3, 1, 2, 3, 1, 2, 6, 1, 6, 1],0.654605263158,1
2017-04-24 20:52:30,[1, 2, 5, 2, 2, 1, 1, 2, 3, 0, 3, 3, 1, 2, 3, 1, 2, 6, 1, 6],0.654605263158,1
2017-04-24 20:52:35,[2, 1, 2, 5, 2, 2, 1, 1, 2, 3, 0, 3, 3, 1, 2, 3, 1, 2, 6, 1],0.703947368421,1
2017-04-24 20:52:40,[1, 2, 1, 2, 5, 2, 2, 1, 1, 2, 3, 0, 3, 3, 1, 2, 3, 1, 2, 6],0.703947368421,1
2017-04-24 20:52:45,[3, 1, 2, 1, 2, 5, 2, 2, 1, 1, 2, 3, 0, 3, 3, 1, 2, 3, 1, 2],0.345394736842,0
2017-04-24 20:52:50,[0, 3, 1, 2, 1, 2, 5, 2, 2, 1, 1, 2, 3, 0, 3, 3, 1, 2, 3, 1],0.703947368421,1
2017-04-24 20:52:55,[5, 0, 3, 1, 2, 1, 2, 5, 2, 2, 1, 1, 2, 3, 0, 3, 3, 1, 2, 3],0.345394736842,0
